id,modelo,timestamp,consulta,ncm,descricao,atributos,atributos_tipi,valores_impostos,classificacao_tributaria
2025N00001,Nex-0.3-Preview-2024,2025-01-13T10:23:09.303644,casca de alho,07.12.90.00,"Alhos secos, mesmo sem casca","[""Casca de alho seca"", ""Produto vegetal"", ""Especiaria""]","[""Alhos secos, mesmo sem casca""]","{""ipi"": ""0"", ""icms"": {}, ""pis"": ""1.65"", ""cofins"": ""7.6""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""0"", ""ipi_saida"": ""0"", ""pis_entrada"": ""1.65"", ""pis_saida"": ""1.65"", ""cofins_entrada"": ""7.6"", ""cofins_saida"": ""7.6"", ""cst_entrada"": """", ""cst_saida"": """"}"
2025N00002,Nexcode-0.1-BETA,2025-01-13T14:22:56.871839,smartphone,,,[],[],{},{}
2025N00003,Nexcode-0.1-BETA,2025-01-13T14:23:21.408090,smartphone,8517.12.00,Telefones celulares e outros aparelhos de comunicação sem fio para redes celulares,"[""Marca"", ""Modelo"", ""Capacidade de armazenamento"", ""Tamanho da tela"", ""Tecnologia de rede (4G, 5G)"", ""Sistema operacional"", ""Número de IMEI""]","[""Unidade: pç"", ""II"", ""NBR 15541""]","{""ipi"": ""Variável (Consultar TIPI)"", ""icms"": {""MG"": ""Variável (Consultar legislação estadual)""}, ""pis"": ""Variável (De acordo com a faixa de faturamento do Simples Nacional)"", ""cofins"": ""Variável (De acordo com a faixa de faturamento do Simples Nacional)""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""Variável (Consultar TIPI)"", ""ipi_saida"": ""Variável (Consultar TIPI)"", ""pis_entrada"": ""Variável (De acordo com a faixa de faturamento do Simples Nacional)"", ""pis_saida"": ""Variável (De acordo com a faixa de faturamento do Simples Nacional)"", ""cofins_entrada"": ""Variável (De acordo com a faixa de faturamento do Simples Nacional)"", ""cofins_saida"": ""Variável (De acordo com a faixa de faturamento do Simples Nacional)"", ""cst_entrada"": ""Variável (De acordo com a faixa de faturamento do Simples Nacional)"", ""cst_saida"": ""Variável (De acordo com a faixa de faturamento do Simples Nacional)""}"
2025N00004,Nexcode-0.1-BETA,2025-01-13T14:23:43.767820,calça jeans,6203.42.90,"Calças compridas, de brim, para homens ou meninos","[""Calça comprida"", ""Brim (denim)"", ""Masculina (homens ou meninos)""]","[""Tecido de algodão"", ""Confecção""]","{""ipi"": 0, ""icms"": {""MG"": ""Varia de acordo com a alíquota interestadual e a legislação mineira, considerando o regime do Simples Nacional.""}, ""pis"": ""Alíquota de acordo com a faixa de faturamento do Simples Nacional."", ""cofins"": ""Alíquota de acordo com a faixa de faturamento do Simples Nacional.""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""não tributado"", ""ipi_saida"": ""não tributado"", ""pis_entrada"": ""Alíquota de acordo com a faixa de faturamento do Simples Nacional."", ""pis_saida"": ""Alíquota de acordo com a faixa de faturamento do Simples Nacional."", ""cofins_entrada"": ""Alíquota de acordo com a faixa de faturamento do Simples Nacional."", ""cofins_saida"": ""Alíquota de acordo com a faixa de faturamento do Simples Nacional."", ""cst_entrada"": ""Variável conforme a operação de compra (dentro ou fora do estado)"", ""cst_saida"": ""Variável conforme a operação de venda (dentro ou fora do estado, consumidor final ou contribuinte)""}"
2025N00005,Nex-0.1-Pro-2024,2025-01-13T14:23:59.805257,calça jeans,62.03.11.00,Calças jeans de algodão para homens ou meninos,"[""Material: Algodão"", ""Gênero: Masculino"", ""Tipo: Jeans""]","[""Calças e bermudas""]","{""ipi"": ""10%"", ""icms"": {""MG"": ""12%""}, ""pis"": ""1.65%"", ""cofins"": ""7.6%""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""10%"", ""ipi_saida"": ""10%"", ""pis_entrada"": ""1.65%"", ""pis_saida"": ""1.65%"", ""cofins_entrada"": ""7.6%"", ""cofins_saida"": ""7.6%"", ""cst_entrada"": ""101"", ""cst_saida"": ""101""}"
2025N00006,Nexcode-0.1-BETA,2025-01-13T14:30:30.920647,relógio rolex,9101.11.00,"Relógios de pulso, de bolso e outros relógios, incluindo os cronômetros, com mecanismo de corda automático, apresentados em estojos (caixas) para venda a retalho","[""Marca: Rolex"", ""Tipo: Relógio de Pulso"", ""Mecanismo: Automático"", ""Material da Caixa:"", ""Material da Pulseira:"", ""Gênero:"", ""Resistência à água:"", ""Funções adicionais (cronômetro, calendário, etc.):""]","[""II"", ""Relógios de pulso, de bolso e outros relógios, incluindo os cronômetros, com mecanismo de corda automático, apresentados em estojos (caixas) para venda a retalho""]","{""ipi"": ""15%"", ""icms"": {""estado"": ""Varia de acordo com o estado (em média 17%)""}, ""pis"": ""1,65%"", ""cofins"": ""7,6%""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""15%"", ""ipi_saida"": ""15%"", ""pis_entrada"": ""1,65%"", ""pis_saida"": ""1,65%"", ""cofins_entrada"": ""7,6%"", ""cofins_saida"": ""7,6%"", ""cst_entrada"": ""Varia de acordo com o regime tributário"", ""cst_saida"": ""Varia de acordo com o regime tributário""}"
2025N00007,Nexcode-0.1-BETA,2025-01-13T14:32:20.927521,relógio rolex de ouro,9101.11.00,"Relógios de pulso, de metal precioso ou de chapeamento de metal precioso, com caixa de ouro","[""Relógio de pulso"", ""Material da caixa: Ouro"", ""Marca: Rolex""]","[""Relógios de pulso"", ""De metal precioso"", ""Com caixa de ouro""]","{""ipi"": ""15%"", ""icms"": {""estado"": ""Variável por estado (em média 18%)""}, ""pis"": ""1,65%"", ""cofins"": ""7,6%""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""15%"", ""ipi_saida"": ""15%"", ""pis_entrada"": ""1,65%"", ""pis_saida"": ""1,65%"", ""cofins_entrada"": ""7,6%"", ""cofins_saida"": ""7,6%"", ""cst_entrada"": ""Variável conforme regime tributário"", ""cst_saida"": ""Variável conforme regime tributário""}"
2025N00008,Nexcode-0.1-BETA,2025-01-13T14:35:33.498905,goma de mascar babalu,17049020,"Goma de mascar, mesmo açucarada, sem cacau.","[""Goma de mascar"", ""Sabor artificial (ex: tutti-frutti, menta, etc.)"", ""Embalagem individual"", ""Apresentação em cartelas, pacotes ou caixas"", ""Marca Babalu""]","[""Goma de mascar, mesmo açucarada, sem cacau""]","{""ipi"": ""15%"", ""icms"": {""estado"": ""Varia de acordo com o estado, geralmente entre 17% e 18%""}, ""pis"": ""1,65%"", ""cofins"": ""7,6%""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""Crédito de 15%"", ""ipi_saida"": ""15%"", ""pis_entrada"": ""Crédito de 1,65%"", ""pis_saida"": ""1,65%"", ""cofins_entrada"": ""Crédito de 7,6%"", ""cofins_saida"": ""7,6%"", ""cst_entrada"": ""04"", ""cst_saida"": ""00""}"
2025N00009,Nex-0.1-Pro-2024,2025-01-13T14:38:29.520318,goma de mascar babalu,17.04.00.00,"Goma de mascar, mesmo revestida de açúcar","[""Marca: Babalu"", ""Tipo: Goma de Mascar""]","[""Goma de mascar, mesmo revestida de açúcar""]","{""ipi"": ""5%"", ""icms"": {""estado"": ""18%""}, ""pis"": ""1.65%"", ""cofins"": ""7.6%""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""5%"", ""ipi_saida"": ""5%"", ""pis_entrada"": ""1.65%"", ""pis_saida"": ""1.65%"", ""cofins_entrada"": ""7.6%"", ""cofins_saida"": ""7.6%"", ""cst_entrada"": ""00"", ""cst_saida"": ""00""}"
2025N00010,Nex-0.1-Pro-2024,2025-01-13T14:42:09.316733,carne de porco processada e congelada,02.03.29.00,Carne de porco processada e congelada,"[""Carne de porco"", ""Processada"", ""Congelada""]","[""Carne de suíno"", ""Outras"", ""Congeladas""]","{""ipi"": ""5%"", ""icms"": {""estado"": ""18%""}, ""pis"": ""1.65%"", ""cofins"": ""7.6%""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""5%"", ""ipi_saida"": ""5%"", ""pis_entrada"": ""1.65%"", ""pis_saida"": ""1.65%"", ""cofins_entrada"": ""7.6%"", ""cofins_saida"": ""7.6%"", ""cst_entrada"": ""020"", ""cst_saida"": ""020""}"
